number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,state
56,36.3797786247883,2026-04-29 12:30:30.265632,2026-04-29 12:30:35.381137,0 days 00:00:05.115505,0.9836316622711432,0.012693467115843581,10,52,800,COMPLETE
57,41.23690660542159,2026-04-29 12:30:35.381137,2026-04-29 12:30:40.319385,0 days 00:00:04.938248,0.925226241182906,0.1287154879156813,10,37,900,COMPLETE
58,35.864388231183526,2026-04-29 12:30:40.319385,2026-04-29 12:30:46.159157,0 days 00:00:05.839772,0.8241844238747983,0.0078020480415809884,10,47,800,COMPLETE
59,36.101814636193005,2026-04-29 12:30:46.159157,2026-04-29 12:30:50.585675,0 days 00:00:04.426518,0.8254001882409114,0.00845479699210937,9,61,800,COMPLETE
60,36.70659447967287,2026-04-29 12:30:50.585675,2026-04-29 12:30:54.716700,0 days 00:00:04.131025,0.7956231999719182,0.006129259502808194,10,48,400,COMPLETE
61,35.78991231008122,2026-04-29 12:30:54.716700,2026-04-29 12:31:02.766761,0 days 00:00:08.050061,0.8552763250862453,0.004801580934043369,10,43,900,COMPLETE
62,35.74257571785175,2026-04-29 12:31:02.766761,2026-04-29 12:31:08.872409,0 days 00:00:06.105648,0.8457755191942369,0.007574453053721729,10,43,800,COMPLETE
63,36.2558353667142,2026-04-29 12:31:08.872409,2026-04-29 12:31:17.046238,0 days 00:00:08.173829,0.8464918900109928,0.0036761344880422223,10,43,800,COMPLETE
64,36.132702871905295,2026-04-29 12:31:17.046238,2026-04-29 12:31:25.263901,0 days 00:00:08.217663,0.8822421829466709,0.00420710746484421,9,27,900,COMPLETE
65,35.74087816246184,2026-04-29 12:31:25.263901,2026-04-29 12:31:32.370141,0 days 00:00:07.106240,0.8632727129040997,0.006503164226050905,10,42,900,COMPLETE
66,36.0378618853291,2026-04-29 12:31:32.370141,2026-04-29 12:31:36.130051,0 days 00:00:03.759910,0.8619582467450728,0.014836441138216376,9,42,700,COMPLETE
67,35.86305775806225,2026-04-29 12:31:36.130051,2026-04-29 12:31:43.803575,0 days 00:00:07.673524,0.8026981190110123,0.00499764998714553,10,38,800,COMPLETE
68,40.79012621512235,2026-04-29 12:31:43.803575,2026-04-29 12:31:49.917550,0 days 00:00:06.113975,0.7725260260761933,0.0021908948029364344,10,53,600,COMPLETE
69,35.96721690572024,2026-04-29 12:31:49.917550,2026-04-29 12:31:54.707608,0 days 00:00:04.790058,0.8347737783614493,0.01102299577949982,9,43,900,COMPLETE
70,36.43081497650007,2026-04-29 12:31:54.707608,2026-04-29 12:31:59.226397,0 days 00:00:04.518789,0.8080975975989985,0.017725642941072504,10,40,800,COMPLETE
71,35.83479783328553,2026-04-29 12:31:59.226397,2026-04-29 12:32:06.061000,0 days 00:00:06.834603,0.9021948652349839,0.006571631323426739,10,46,900,COMPLETE
72,35.86617950387178,2026-04-29 12:32:06.061000,2026-04-29 12:32:13.223531,0 days 00:00:07.162531,0.9228714108475717,0.00755298705052387,10,34,900,COMPLETE
73,35.83952053030282,2026-04-29 12:32:13.223531,2026-04-29 12:32:19.560625,0 days 00:00:06.337094,0.8708156908973193,0.005820100481699964,9,46,1000,COMPLETE
74,36.06300824061064,2026-04-29 12:32:19.560625,2026-04-29 12:32:26.667031,0 days 00:00:07.106406,0.8702311975764385,0.005606214844088738,10,56,1000,COMPLETE
75,35.97197661825211,2026-04-29 12:32:26.667031,2026-04-29 12:32:32.968164,0 days 00:00:06.301133,0.8473991399602699,0.00912464707680071,10,45,1000,COMPLETE
76,36.03285406650199,2026-04-29 12:32:32.968164,2026-04-29 12:32:40.973775,0 days 00:00:08.005611,0.8855507404322018,0.003960910588821547,10,51,900,COMPLETE
