number,value,datetime_start,datetime_complete,duration,params_fair_c,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
72,35.85684768863261,2026-05-05 13:43:33.545792,2026-05-05 13:43:37.833436,0 days 00:00:04.287644,34.89532299426996,0.7627283403842654,0.004334975118811187,7,50,942,64,COMPLETE
73,35.697406059195465,2026-05-05 13:43:37.833436,2026-05-05 13:43:41.931950,0 days 00:00:04.098514,41.8902765726976,0.7149949005798214,0.006453022160759752,8,68,1036,67,COMPLETE
74,35.782695031616754,2026-05-05 13:43:41.933980,2026-05-05 13:43:46.221647,0 days 00:00:04.287667,31.520583572682774,0.7194262277613827,0.006840519429222093,9,60,890,75,COMPLETE
75,35.75591945760094,2026-05-05 13:43:46.221647,2026-05-05 13:43:49.638045,0 days 00:00:03.416398,44.682942419110745,0.7206084408284158,0.010083416830869397,8,67,1050,60,COMPLETE
76,35.92562431390759,2026-05-05 13:43:49.638045,2026-05-05 13:43:55.065995,0 days 00:00:05.427950,37.50240461546651,0.7908611951389953,0.0037802325049499713,8,71,1035,84,COMPLETE
77,35.76622125163152,2026-05-05 13:43:55.065995,2026-05-05 13:43:57.479491,0 days 00:00:02.413496,49.153737410441124,0.8015644382739906,0.012999319045384266,7,58,798,54,COMPLETE
78,35.771258466695556,2026-05-05 13:43:57.479491,2026-05-05 13:44:02.366221,0 days 00:00:04.886730,33.61976685754438,0.7577340137831924,0.006125982248202902,8,55,1109,88,COMPLETE
79,35.687344272806854,2026-05-05 13:44:02.366221,2026-05-05 13:44:05.590193,0 days 00:00:03.223972,58.928412043513745,0.671317312309912,0.007963280106901461,7,62,991,71,COMPLETE
80,36.211372329604465,2026-05-05 13:44:05.590193,2026-05-05 13:44:08.340116,0 days 00:00:02.749923,41.551822121226,0.7076163369367132,0.02242315410060111,8,74,987,78,COMPLETE
81,35.717636833794394,2026-05-05 13:44:08.341141,2026-05-05 13:44:11.344685,0 days 00:00:03.003544,59.68850934290956,0.6872835287411074,0.007890269669591643,7,62,874,71,COMPLETE
82,35.751807539564616,2026-05-05 13:44:11.359913,2026-05-05 13:44:14.357441,0 days 00:00:02.997528,59.15448868587633,0.6766993635708418,0.007577765962156598,7,67,867,67,COMPLETE
83,35.67454115923573,2026-05-05 13:44:14.358326,2026-05-05 13:44:17.122031,0 days 00:00:02.763705,67.96642255901924,0.7415726823903207,0.010912234877271165,7,64,908,70,COMPLETE
84,35.7305214045845,2026-05-05 13:44:17.122031,2026-05-05 13:44:19.774570,0 days 00:00:02.652539,69.06550246625315,0.6364777670692323,0.008932348873453646,7,65,746,71,COMPLETE
85,35.72215331412827,2026-05-05 13:44:19.774570,2026-05-05 13:44:22.331974,0 days 00:00:02.557404,69.6530643393304,0.6409999934914413,0.009357796552807442,7,62,742,70,COMPLETE
86,36.155371129029746,2026-05-05 13:44:22.332974,2026-05-05 13:44:24.922684,0 days 00:00:02.589710,74.20517350516346,0.6039841000817483,0.018235104367832704,8,61,908,69,COMPLETE
87,35.98177979739519,2026-05-05 13:44:24.922684,2026-05-05 13:44:27.367993,0 days 00:00:02.445309,79.822024964953,0.6562677911599665,0.012967486942850779,7,53,825,67,COMPLETE
88,35.645616604378915,2026-05-05 13:44:27.368993,2026-05-05 13:44:30.100189,0 days 00:00:02.731196,65.94549568709732,0.7448537506366524,0.007782823639748349,7,62,678,74,COMPLETE
89,35.5858103226825,2026-05-05 13:44:30.115803,2026-05-05 13:44:32.849927,0 days 00:00:02.734124,65.86675183136543,0.7400713248115589,0.009898470710994,8,62,595,74,COMPLETE
90,35.61693718314656,2026-05-05 13:44:32.849927,2026-05-05 13:44:36.113555,0 days 00:00:03.263628,64.62783445756482,0.7498454072127079,0.007540020463067534,9,56,574,74,COMPLETE
91,35.85933446994328,2026-05-05 13:44:36.113555,2026-05-05 13:44:39.835987,0 days 00:00:03.722432,65.64413139670312,0.6878959570826575,0.006453964949842098,10,51,565,74,COMPLETE
92,35.60878535017311,2026-05-05 13:44:39.835987,2026-05-05 13:44:43.380933,0 days 00:00:03.544946,59.997461619978274,0.7481120852807258,0.007658602688046452,9,57,628,82,COMPLETE
93,35.531243923369956,2026-05-05 13:44:43.380933,2026-05-05 13:44:46.355806,0 days 00:00:02.974873,54.0461844986709,0.7428866465552957,0.010524657998709204,9,56,603,78,COMPLETE
94,35.56416144309039,2026-05-05 13:44:46.355806,2026-05-05 13:44:49.445902,0 days 00:00:03.090096,55.90119344685429,0.7463446942617112,0.010941164434213814,9,57,592,81,COMPLETE
95,35.60979324997848,2026-05-05 13:44:49.445902,2026-05-05 13:44:52.610143,0 days 00:00:03.164241,56.047934539543604,0.7450244652093015,0.010599870964269715,9,45,613,83,COMPLETE
96,35.82572338448753,2026-05-05 13:44:52.611143,2026-05-05 13:44:55.300921,0 days 00:00:02.689778,55.00945934251844,0.7388545078568073,0.015974964979498327,9,44,591,91,COMPLETE
97,35.63327805335806,2026-05-05 13:44:55.301239,2026-05-05 13:44:58.497793,0 days 00:00:03.196554,57.01852589222949,0.7457575242897321,0.010786200051757774,9,57,660,84,COMPLETE
98,35.601295281107596,2026-05-05 13:44:58.497793,2026-05-05 13:45:01.561323,0 days 00:00:03.063530,57.11008606663482,0.7514372077469097,0.01158752648692938,9,57,675,82,COMPLETE
99,35.61944572778778,2026-05-05 13:45:01.561323,2026-05-05 13:45:04.652098,0 days 00:00:03.090775,57.28011588152288,0.7503562646202817,0.010996627499958094,9,57,652,83,COMPLETE
