number,value,datetime_start,datetime_complete,duration,params_alpha,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
44,43.05967615173773,2026-05-07 17:33:50.692133,2026-05-07 17:33:55.370569,0 days 00:00:04.678436,74.24417316388971,0.6379300067184319,0.002120715662099449,9,54,661,115,COMPLETE
45,36.051109159319026,2026-05-07 17:33:55.370569,2026-05-07 17:33:57.542207,0 days 00:00:02.171638,70.0307277470013,0.523760481907595,0.02565155188974922,10,33,482,122,COMPLETE
46,35.58420448577125,2026-05-07 17:33:57.542207,2026-05-07 17:34:02.753163,0 days 00:00:05.210956,78.45681942730401,0.6530014708306852,0.006389294089915954,9,40,937,126,COMPLETE
47,36.016305523086416,2026-05-07 17:34:02.753163,2026-05-07 17:34:10.247954,0 days 00:00:07.494791,66.44808498889873,0.5790245800574498,0.006407456370182964,10,23,1069,136,COMPLETE
48,37.793419940228425,2026-05-07 17:34:10.247954,2026-05-07 17:34:17.632632,0 days 00:00:07.384678,53.189767389990735,0.6496188796650507,0.0035185052518715153,9,40,921,129,COMPLETE
49,55.16020216395974,2026-05-07 17:34:17.632632,2026-05-07 17:34:28.007838,0 days 00:00:10.375206,78.42192207294717,0.7048581521985775,0.00032036976603982883,10,64,1439,112,COMPLETE
50,36.22375718765103,2026-05-07 17:34:28.007838,2026-05-07 17:34:32.514411,0 days 00:00:04.506573,46.43827739973839,0.6035150034586977,0.011123551183821042,9,50,1274,108,COMPLETE
51,36.0558133478515,2026-05-07 17:34:32.514411,2026-05-07 17:34:38.138878,0 days 00:00:05.624467,86.36353367721766,0.6586635898567139,0.005785062231975141,9,17,813,102,COMPLETE
52,36.05021180880656,2026-05-07 17:34:38.138878,2026-05-07 17:34:41.098892,0 days 00:00:02.960014,72.31624739235393,0.7311724286942932,0.019665628322206117,10,37,729,94,COMPLETE
53,35.66485292378381,2026-05-07 17:34:41.098892,2026-05-07 17:34:44.389477,0 days 00:00:03.290585,100.02403779278947,0.7850116814790593,0.010272413709844785,9,45,598,123,COMPLETE
54,40.96551187650606,2026-05-07 17:34:44.389477,2026-05-07 17:34:49.665553,0 days 00:00:05.276076,98.11226954814256,0.7959738932460434,0.002370172163779356,9,44,622,126,COMPLETE
55,35.73264653557386,2026-05-07 17:34:49.665553,2026-05-07 17:34:52.763951,0 days 00:00:03.098398,105.51080911043046,0.7422954588692092,0.011431409625796835,10,60,565,141,COMPLETE
56,35.75421822586205,2026-05-07 17:34:52.763951,2026-05-07 17:34:55.497828,0 days 00:00:02.733877,105.87734072400292,0.7473574494468774,0.012079512040717945,9,60,576,142,COMPLETE
57,38.33084342480544,2026-05-07 17:34:55.497828,2026-05-07 17:34:59.055596,0 days 00:00:03.557768,107.8959878508379,0.7872268483866185,0.004590232402286812,10,59,435,140,COMPLETE
58,35.85999293126953,2026-05-07 17:34:59.055596,2026-05-07 17:35:00.583618,0 days 00:00:01.528022,102.05751899733008,0.7516799289546203,0.011940998366410483,6,48,513,145,COMPLETE
59,42.03979927386886,2026-05-07 17:35:00.583618,2026-05-07 17:35:02.324293,0 days 00:00:01.740675,109.70691560027315,0.8363659811618543,0.0015917686860082616,4,65,893,142,COMPLETE
60,36.724283399668444,2026-05-07 17:35:02.324293,2026-05-07 17:35:04.046336,0 days 00:00:01.722043,104.02155884133283,0.6881731040640516,0.03993343064306831,9,54,574,134,COMPLETE
61,35.88637261271792,2026-05-07 17:35:04.046336,2026-05-07 17:35:07.517990,0 days 00:00:03.471654,97.79767071607256,0.7404209358732291,0.0073609898890213,9,71,674,117,COMPLETE
62,36.116128915525884,2026-05-07 17:35:07.517990,2026-05-07 17:35:10.911913,0 days 00:00:03.393923,89.16665214237517,0.7995603220784183,0.01827355110614457,9,26,775,125,COMPLETE
63,35.66494356700646,2026-05-07 17:35:10.911913,2026-05-07 17:35:14.855568,0 days 00:00:03.943655,82.36342739685597,0.690707469490119,0.01203074899048008,10,35,698,124,COMPLETE
64,38.343457420696915,2026-05-07 17:35:14.855568,2026-05-07 17:35:22.348056,0 days 00:00:07.492488,82.12931493651051,0.6924031324185541,0.0030343653018050816,10,35,736,142,COMPLETE
65,35.76104257161356,2026-05-07 17:35:22.348056,2026-05-07 17:35:25.829721,0 days 00:00:03.481665,95.15518137185707,0.6125158137424432,0.013097546336191054,10,40,712,135,COMPLETE
66,36.793608767765456,2026-05-07 17:35:25.829721,2026-05-07 17:35:28.734040,0 days 00:00:02.904319,95.30441998094503,0.6022899396321897,0.02689461291304199,10,43,838,134,COMPLETE
67,36.15396222812488,2026-05-07 17:35:28.734040,2026-05-07 17:35:32.900343,0 days 00:00:04.166303,103.07339947675896,0.7653528556684266,0.014223015169399876,10,54,1013,127,COMPLETE
68,35.77426164080903,2026-05-07 17:35:32.900343,2026-05-07 17:35:36.495668,0 days 00:00:03.595325,94.14218574998034,0.5845302409973828,0.011678071910611125,10,31,572,132,COMPLETE
69,36.643350184997345,2026-05-07 17:35:36.495668,2026-05-07 17:35:38.188969,0 days 00:00:01.693301,94.06612911066156,0.5699423228127689,0.05557476426275071,10,30,394,143,COMPLETE
70,36.506220685070176,2026-05-07 17:35:38.188969,2026-05-07 17:35:41.864234,0 days 00:00:03.675265,100.35339438755926,0.4500614729995655,0.011967981373089243,10,19,503,132,COMPLETE
71,36.39450301331481,2026-05-07 17:35:41.864234,2026-05-07 17:35:46.540905,0 days 00:00:04.676671,90.61312545219656,0.6181030092094569,0.016663233202336813,10,6,571,138,COMPLETE
72,35.78552421286965,2026-05-07 17:35:46.540905,2026-05-07 17:35:50.389369,0 days 00:00:03.848464,95.82286602701514,0.6433179231493447,0.009227182498705213,10,46,676,123,COMPLETE
73,35.82341276345774,2026-05-07 17:35:50.389369,2026-05-07 17:35:53.271448,0 days 00:00:02.882079,105.67091446688549,0.5813480270896731,0.013099800242465346,10,41,457,146,COMPLETE
74,36.56291141320021,2026-05-07 17:35:53.271448,2026-05-07 17:36:00.583788,0 days 00:00:07.312340,83.62189849372541,0.543744018813701,0.0044464911059899056,10,25,873,131,COMPLETE
75,40.32845477012245,2026-05-07 17:36:00.583788,2026-05-07 17:36:04.306708,0 days 00:00:03.722920,35.13048633352688,0.6263000175269893,0.00555214670712464,9,61,553,150,COMPLETE
76,35.78101130854185,2026-05-07 17:36:04.322331,2026-05-07 17:36:07.786718,0 days 00:00:03.464387,90.7685731211047,0.778309432863231,0.00798379343471195,9,53,579,120,COMPLETE
77,35.98709625565403,2026-05-07 17:36:07.786718,2026-05-07 17:36:11.252130,0 days 00:00:03.465412,101.12842697623364,0.6150579549083012,0.016952616272935546,10,29,701,138,COMPLETE
78,36.38484841659427,2026-05-07 17:36:11.252130,2026-05-07 17:36:14.281700,0 days 00:00:03.029570,106.93739234631198,0.6619590933639947,0.0205714829281717,10,70,961,134,COMPLETE
79,35.89595068644504,2026-05-07 17:36:14.281700,2026-05-07 17:36:15.117808,0 days 00:00:00.836108,93.80379672668215,0.7184771799758973,0.010620880522890478,3,34,770,126,COMPLETE
80,36.65978429493903,2026-05-07 17:36:15.133434,2026-05-07 17:36:18.604896,0 days 00:00:03.471462,86.1513946880838,0.6903066390606932,0.02601667553888434,9,10,807,71,COMPLETE
81,35.77744845068687,2026-05-07 17:36:18.604896,2026-05-07 17:36:22.200949,0 days 00:00:03.596053,90.46171089405426,0.7714813223135997,0.008063640164302466,9,52,586,129,COMPLETE
82,35.709293434033285,2026-05-07 17:36:22.200949,2026-05-07 17:36:25.498374,0 days 00:00:03.297425,99.57619799226326,0.746955106687513,0.007994686769399493,8,48,650,131,COMPLETE
83,35.477622084054296,2026-05-07 17:36:25.498374,2026-05-07 17:36:28.744898,0 days 00:00:03.246524,96.4170914823969,0.7503353242500111,0.009073269719044428,8,38,637,129,COMPLETE
84,35.660916130641446,2026-05-07 17:36:28.760521,2026-05-07 17:36:30.758599,0 days 00:00:01.998078,97.03288995184435,0.819209805273164,0.013195143669625703,8,58,628,36,COMPLETE
85,35.720866009885285,2026-05-07 17:36:30.758599,2026-05-07 17:36:32.143782,0 days 00:00:01.385183,99.54165949207493,0.815709638288399,0.009003746178556328,8,38,645,15,COMPLETE
86,36.357661139525725,2026-05-07 17:36:32.143782,2026-05-07 17:36:34.395606,0 days 00:00:02.251824,104.6818672567986,0.8162679456957093,0.005013685441528514,7,56,651,30,COMPLETE
87,35.776975325904246,2026-05-07 17:36:34.395606,2026-05-07 17:36:36.417537,0 days 00:00:02.021931,99.80448611554546,0.830257038431473,0.009467962827716654,8,60,497,45,COMPLETE
88,39.20146488025733,2026-05-07 17:36:36.417537,2026-05-07 17:36:37.921081,0 days 00:00:01.503544,97.91002671395952,0.7417703619806788,0.0038387524591923876,8,37,530,21,COMPLETE
89,36.40374086071127,2026-05-07 17:36:37.921081,2026-05-07 17:36:39.316643,0 days 00:00:01.395562,108.28068291357856,0.847695369015335,0.0060299984214116946,7,68,629,15,COMPLETE
90,35.86185643535849,2026-05-07 17:36:39.316643,2026-05-07 17:36:41.259768,0 days 00:00:01.943125,102.90423623990532,0.8676919923293537,0.015222191316011595,8,49,646,39,COMPLETE
91,35.851082092495275,2026-05-07 17:36:41.275392,2026-05-07 17:36:43.375918,0 days 00:00:02.100526,97.0120501172738,0.8038725892321017,0.013227456917292813,8,44,702,37,COMPLETE
92,35.5315176256958,2026-05-07 17:36:43.375918,2026-05-07 17:36:45.921712,0 days 00:00:02.545794,102.1860001895603,0.7529383296029476,0.0097477441820363,7,40,733,62,COMPLETE
