number,value,datetime_start,datetime_complete,duration,params_feature_fraction,params_learning_rate,params_max_depth,params_n_estimators,params_num_leaves,state
65,29.916934496968747,2026-03-15 11:49:45.861251,2026-03-15 11:49:47.990501,0 days 00:00:02.129250,0.6871491844623111,0.08336907151569552,4,900,55,COMPLETE
66,29.425280934554944,2026-03-15 11:49:47.992507,2026-03-15 11:49:50.794647,0 days 00:00:02.802140,0.6298910559023997,0.08251002639157588,5,900,47,COMPLETE
67,29.57677568680408,2026-03-15 11:49:50.796658,2026-03-15 11:49:53.650550,0 days 00:00:02.853892,0.6302482522135665,0.06222548626089811,5,900,50,COMPLETE
68,29.54301331816931,2026-03-15 11:49:53.650550,2026-03-15 11:49:56.725581,0 days 00:00:03.075031,0.6566470602508151,0.08741163932127777,5,1000,41,COMPLETE
69,30.86138601948708,2026-03-15 11:49:56.727585,2026-03-15 11:49:58.991684,0 days 00:00:02.264099,0.609902266178318,0.03383647093837174,4,1000,47,COMPLETE
70,30.412810204234848,2026-03-15 11:49:58.991684,2026-03-15 11:50:01.863288,0 days 00:00:02.871604,0.7156894733068264,0.04133911705691526,5,900,39,COMPLETE
71,29.32211798730995,2026-03-15 11:50:01.865293,2026-03-15 11:50:04.902632,0 days 00:00:03.037339,0.6561670485452158,0.09065875936030726,5,1000,41,COMPLETE
72,29.33878420181864,2026-03-15 11:50:04.902632,2026-03-15 11:50:07.869827,0 days 00:00:02.967195,0.5922995053380459,0.09131135601456762,5,1000,44,COMPLETE
73,29.682204390197192,2026-03-15 11:50:07.869827,2026-03-15 11:50:11.403178,0 days 00:00:03.533351,0.6538688314515779,0.09714079459874458,5,1000,37,COMPLETE
74,29.743402354043315,2026-03-15 11:50:11.403178,2026-03-15 11:50:14.203208,0 days 00:00:02.800030,0.7668735023692069,0.13050954608331627,4,900,41,COMPLETE
75,29.783774522227596,2026-03-15 11:50:14.205225,2026-03-15 11:50:19.061141,0 days 00:00:04.855916,0.6275460811700423,0.052997096666482904,5,1000,46,COMPLETE
76,29.62979378755357,2026-03-15 11:50:19.062140,2026-03-15 11:50:22.079108,0 days 00:00:03.016968,0.6714137139066437,0.06185531567996748,5,900,50,COMPLETE
