number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,state
116,35.64244141657361,2026-05-05 17:44:24.162068,2026-05-05 17:44:29.915549,0 days 00:00:05.753481,0.7861005192116912,0.009501962889497083,8,44,600,COMPLETE
117,36.19578698065491,2026-05-05 17:44:29.916593,2026-05-05 17:44:37.078081,0 days 00:00:07.161488,0.734969003082664,0.005457311113335617,8,50,600,COMPLETE
118,35.68277395000396,2026-05-05 17:44:37.078081,2026-05-05 17:44:42.950197,0 days 00:00:05.872116,0.850455760050907,0.009099831934394573,8,45,600,COMPLETE
119,35.69374954008646,2026-05-05 17:44:42.950197,2026-05-05 17:44:49.952042,0 days 00:00:07.001845,0.8521320069402804,0.008997521561790494,8,47,600,COMPLETE
120,35.81202229156709,2026-05-05 17:44:49.952042,2026-05-05 17:44:57.005864,0 days 00:00:07.053822,0.8518747291017853,0.006773050173596396,8,49,600,COMPLETE
121,35.69839608989667,2026-05-05 17:44:57.005864,2026-05-05 17:45:03.737838,0 days 00:00:06.731974,0.8751087156121441,0.008886799898794595,8,46,600,COMPLETE
122,35.69175882008909,2026-05-05 17:45:03.739388,2026-05-05 17:45:09.954879,0 days 00:00:06.215491,0.8690703365250274,0.009195936661574738,8,47,600,COMPLETE
123,35.75739855158955,2026-05-05 17:45:09.955385,2026-05-05 17:45:16.448008,0 days 00:00:06.492623,0.8767736901957929,0.009466874103744385,8,48,600,COMPLETE
124,35.794664502410676,2026-05-05 17:45:16.448008,2026-05-05 17:45:24.746520,0 days 00:00:08.298512,0.8608678365578467,0.00771762583400284,9,51,600,COMPLETE
125,35.70976694442441,2026-05-05 17:45:24.746520,2026-05-05 17:45:31.090342,0 days 00:00:06.343822,0.8987753223495112,0.00878072567233873,8,45,600,COMPLETE
126,35.98985720797975,2026-05-05 17:45:31.091341,2026-05-05 17:45:40.645133,0 days 00:00:09.553792,0.8888027985238441,0.006076510059750543,9,54,700,COMPLETE
127,35.75155623983088,2026-05-05 17:45:40.645133,2026-05-05 17:45:47.097924,0 days 00:00:06.452791,0.8971402774749311,0.007196566402199139,8,46,600,COMPLETE
