number,value,datetime_start,datetime_complete,duration,params_alpha,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
64,35.629027506933866,2026-04-29 11:46:12.588410,2026-04-29 11:46:14.945631,0 days 00:00:02.357221,37.343215934795076,0.9044671230942617,0.017360505986572735,8,43,859,49,COMPLETE
65,35.99056447391001,2026-04-29 11:46:14.945631,2026-04-29 11:46:16.554982,0 days 00:00:01.609351,44.79806236502627,0.8399445762108746,0.03564550010817349,7,15,601,43,COMPLETE
66,36.2780105257525,2026-04-29 11:46:16.554982,2026-04-29 11:46:17.970536,0 days 00:00:01.415554,54.47307611997648,0.8782500397981465,0.04612731480405192,6,27,753,63,COMPLETE
67,35.680550998306394,2026-04-29 11:46:17.970536,2026-04-29 11:46:20.789019,0 days 00:00:02.818483,58.27688853562798,0.7327716016393879,0.006700876381231531,7,50,923,51,COMPLETE
68,36.50709770440831,2026-04-29 11:46:20.789019,2026-04-29 11:46:22.566225,0 days 00:00:01.777206,16.048422054789373,0.9199392766532798,0.02063607651543178,6,23,648,47,COMPLETE
69,35.59693827445223,2026-04-29 11:46:22.566225,2026-04-29 11:46:24.138677,0 days 00:00:01.572452,44.61221730836718,0.7006343386793357,0.016476886315950626,8,75,795,21,COMPLETE
70,36.82560250266484,2026-04-29 11:46:24.138677,2026-04-29 11:46:26.106610,0 days 00:00:01.967933,13.191321447551228,0.7961004232692019,0.027267454556433427,7,45,540,70,COMPLETE
71,35.61420219914989,2026-04-29 11:46:26.106610,2026-04-29 11:46:27.526301,0 days 00:00:01.419691,44.59869131485774,0.5875366568572681,0.017805812003819983,8,78,728,19,COMPLETE
72,40.748949682211695,2026-04-29 11:46:27.526301,2026-04-29 11:46:28.071823,0 days 00:00:00.545522,38.02567964750303,0.707172876842774,0.013589995717965042,9,91,212,21,COMPLETE
73,36.229582913191756,2026-04-29 11:46:28.071823,2026-04-29 11:46:29.944796,0 days 00:00:01.872973,33.20773327771872,0.6178703786889871,0.010282042243382852,8,70,788,26,COMPLETE
74,35.908083330223874,2026-04-29 11:46:29.944796,2026-04-29 11:46:32.143319,0 days 00:00:02.198523,52.92795960179745,0.75927549301202,0.02462648706178639,10,56,838,41,COMPLETE
75,35.65246424642818,2026-04-29 11:46:32.143319,2026-04-29 11:46:33.415572,0 days 00:00:01.272253,45.70123124719527,0.6970716951372957,0.015680754990122753,6,63,682,22,COMPLETE
76,35.460707307712525,2026-04-29 11:46:33.415572,2026-04-29 11:46:35.617950,0 days 00:00:02.202378,58.97537449061539,0.9514821021600657,0.01275732186369327,7,37,801,55,COMPLETE
77,35.568126625560744,2026-04-29 11:46:35.632457,2026-04-29 11:46:38.358257,0 days 00:00:02.725800,59.053014593480704,0.9831175422616498,0.007921331203541888,7,34,750,61,COMPLETE
78,35.480333092952854,2026-04-29 11:46:38.358257,2026-04-29 11:46:40.192205,0 days 00:00:01.833948,58.97800114011127,0.980655618545289,0.01260520302170501,6,36,755,61,COMPLETE
