number,value,datetime_start,datetime_complete,duration,params_alpha,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
59,35.98906889778262,2026-05-05 13:30:05.297245,2026-05-05 13:30:08.627468,0 days 00:00:03.330223,61.722832622059165,0.5944958376858581,0.017804109887969325,8,24,927,76,COMPLETE
60,36.100671927721024,2026-05-05 13:30:08.627468,2026-05-05 13:30:11.063741,0 days 00:00:02.436273,87.52078067636324,0.5175388666003685,0.005574767259022937,9,47,860,24,COMPLETE
61,35.730842983201505,2026-05-05 13:30:11.063741,2026-05-05 13:30:14.023904,0 days 00:00:02.960163,94.62411221780492,0.6250199856822535,0.01182256482284811,10,22,829,35,COMPLETE
62,35.90366048966898,2026-05-05 13:30:14.024904,2026-05-05 13:30:15.577298,0 days 00:00:01.552394,70.87428397916392,0.7025407171767386,0.008888972041333409,10,16,605,17,COMPLETE
63,35.76012173333409,2026-05-05 13:30:15.577298,2026-05-05 13:30:17.327126,0 days 00:00:01.749828,78.5468808292199,0.569967788027381,0.012554249771624315,10,11,706,19,COMPLETE
64,35.546418716766425,2026-05-05 13:30:17.327126,2026-05-05 13:30:20.792139,0 days 00:00:03.465013,104.32902235057438,0.6775605799716466,0.009328876318409165,9,35,1215,27,COMPLETE
65,39.64411123392746,2026-05-05 13:30:20.792139,2026-05-05 13:30:23.679483,0 days 00:00:02.887344,90.39846216263577,0.5467522368131575,0.0021884554096789468,10,25,1007,21,COMPLETE
66,35.514878544994374,2026-05-05 13:30:23.679997,2026-05-05 13:30:26.020892,0 days 00:00:02.340895,83.27035155329578,0.6147834787748432,0.015906406582669872,7,40,790,70,COMPLETE
67,36.070540127660145,2026-05-05 13:30:26.020892,2026-05-05 13:30:27.652748,0 days 00:00:01.631856,94.6146735529693,0.5620164240700225,0.03325281115504253,6,43,875,67,COMPLETE
68,35.66644080204238,2026-05-05 13:30:27.652748,2026-05-05 13:30:29.777532,0 days 00:00:02.124784,83.45919158942417,0.6058640232300887,0.015753228307741975,7,41,673,70,COMPLETE
69,35.62716615612728,2026-05-05 13:30:29.778575,2026-05-05 13:30:31.141598,0 days 00:00:01.363023,86.59408210984984,0.5856879697998375,0.021622682302997766,6,29,524,72,COMPLETE
70,35.61986079176994,2026-05-05 13:30:31.142597,2026-05-05 13:30:33.101766,0 days 00:00:01.959169,66.23955856354317,0.6223874639508281,0.017235281546002224,7,56,620,102,COMPLETE
71,35.44400914744385,2026-05-05 13:30:33.102766,2026-05-05 13:30:36.424221,0 days 00:00:03.321455,72.09720128574983,0.6659645213917802,0.01135746724617889,8,37,799,84,COMPLETE
72,35.49713414282361,2026-05-05 13:30:36.424530,2026-05-05 13:30:39.694782,0 days 00:00:03.270252,72.1733478187862,0.6460640828531895,0.01077272096282629,8,36,735,84,COMPLETE
73,35.62722822099475,2026-05-05 13:30:39.695155,2026-05-05 13:30:42.276566,0 days 00:00:02.581411,71.03942050055106,0.6504940990968858,0.011348368062465908,7,46,737,84,COMPLETE
74,35.39871372026754,2026-05-05 13:30:42.276566,2026-05-05 13:30:45.824873,0 days 00:00:03.548307,61.814510925011625,0.7229458120758304,0.010750852983167488,8,37,797,89,COMPLETE
75,35.49082349577973,2026-05-05 13:30:45.824873,2026-05-05 13:30:49.394047,0 days 00:00:03.569174,55.485977458918796,0.665075506507425,0.010647100568101756,8,38,796,87,COMPLETE
