"Date","Price","Open","High","Low","Vol.","Change %"
"06/02/2025","35.015","34.050","35.490","33.705","80.88K","2.30%"
"05/30/2025","34.228","35.155","35.440","33.825","92.87K","-2.65%"
"05/29/2025","35.158","36.990","37.005","34.800","33.02K","-4.17%"
"05/28/2025","36.687","36.665","37.125","36.350","73.04K","-0.86%"
"05/27/2025","37.006","36.960","37.935","36.435","102.00K","-0.66%"
"05/26/2025","37.253","36.890","37.355","36.595","31.77K","2.20%"
"05/23/2025","36.450","36.645","36.865","35.420","94.70K","0.26%"
"05/22/2025","36.356","36.455","37.185","36.105","61.85K","-0.72%"
"05/21/2025","36.621","37.050","37.815","36.415","78.03K","-0.97%"
"05/20/2025","36.979","35.000","37.205","34.985","96.32K","4.98%"
"05/19/2025","35.225","35.300","35.495","34.800","58.98K","0.20%"
"05/16/2025","35.156","35.705","35.930","34.730","83.16K","-0.39%"
"05/15/2025","35.294","34.830","35.610","34.455","87.71K","0.70%"
"05/14/2025","35.048","35.600","35.900","34.425","69.38K","-1.95%"
"05/13/2025","35.744","35.275","36.150","34.930","66.72K","1.00%"
"05/12/2025","35.390","34.550","36.325","34.450","98.38K","2.23%"
"05/09/2025","34.618","35.700","36.050","34.300","79.85K","-2.05%"
"05/08/2025","35.341","34.020","35.745","34.020","79.23K","2.35%"
"05/07/2025","34.531","35.000","35.500","34.075","86.08K","-0.61%"
"05/06/2025","34.743","32.930","35.140","32.930","73.13K","5.51%"
"05/05/2025","32.930","32.600","33.150","32.400","26.31K","-0.45%"
"05/02/2025","33.078","31.990","33.675","31.815","80.98K","2.89%"
"05/01/2025","32.149","32.175","32.465","31.585","51.32K","-0.52%"
"04/30/2025","32.317","31.450","32.900","31.440","73.56K","1.45%"
"04/29/2025","31.856","31.805","32.170","31.195","59.36K","-1.67%"
"04/28/2025","32.398","32.055","32.790","31.635","74.06K","-0.10%"
"04/25/2025","32.432","33.700","33.800","31.945","89.61K","-3.40%"
"04/24/2025","33.574","33.995","34.355","32.990","95.06K","-1.72%"
"04/23/2025","34.160","34.655","35.070","33.800","91.69K","-0.25%"
"04/22/2025","34.244","34.790","35.790","33.930","73.82K","-3.96%"
"04/17/2025","35.657","35.310","35.930","35.290","73.96K","0.98%"
"04/16/2025","35.312","34.020","35.655","33.780","80.69K","2.63%"
"04/15/2025","34.407","35.000","35.535","34.080","82.60K","-0.27%"
"04/14/2025","34.499","33.785","34.835","33.690","70.10K","3.10%"
"04/11/2025","33.463","32.700","34.075","32.545","84.70K","0.51%"
"04/10/2025","33.293","36.250","36.420","33.065","106.60K","-1.11%"
"04/09/2025","33.666","33.935","35.450","33.245","150.91K","-7.08%"
"04/08/2025","36.231","36.335","36.980","35.490","82.72K","-2.08%"
"04/07/2025","37.000","35.490","38.620","33.505","127.51K","1.65%"
"04/04/2025","36.401","39.005","39.520","35.150","124.69K","-7.15%"
"04/03/2025","39.203","40.500","40.500","38.400","104.79K","-4.99%"
"04/02/2025","41.263","42.400","43.095","40.840","75.56K","-2.80%"
"04/01/2025","42.450","40.745","42.700","40.350","80.57K","4.38%"
"03/31/2025","40.667","40.600","41.420","39.850","75.31K","0.20%"
"03/28/2025","40.587","41.300","41.350","40.250","72.98K","-1.49%"
"03/27/2025","41.202","40.750","41.640","40.350","95.01K","0.81%"
