number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dense_units,params_dropout_0,params_dropout_1,params_dropout_2,params_learning_rate,params_n_lstm_layers,params_units_0,params_units_1,params_units_2,state
78,24.380305979908144,2026-03-14 01:14:46.154517,2026-03-14 01:18:43.291483,0 days 00:03:57.136966,16,128,0.10928877460880662,,,0.0008085260613221277,1,192,,,COMPLETE
79,26.74453268415859,2026-03-14 01:18:43.293649,2026-03-14 01:23:12.625161,0 days 00:04:29.331512,32,80,0.2395989612600717,0.2920784695653082,0.29334505122084703,0.0004935503829035929,3,128,192.0,32.0,COMPLETE
80,24.81238314247696,2026-03-14 01:23:12.625161,2026-03-14 01:25:31.769675,0 days 00:02:19.144514,32,64,0.30829425234190544,,,0.0013623086664959123,1,96,,,COMPLETE
81,24.615307721067893,2026-03-14 01:25:31.769675,2026-03-14 01:29:06.122097,0 days 00:03:34.352422,16,128,0.1167128752867693,,,0.0008018080629606653,1,192,,,COMPLETE
82,25.46386559927391,2026-03-14 01:29:06.127633,2026-03-14 01:32:24.826520,0 days 00:03:18.698887,16,112,0.11081404549302856,,,0.0006710648101474237,1,192,,,COMPLETE
83,26.534988155764314,2026-03-14 01:32:24.826520,2026-03-14 01:34:57.713397,0 days 00:02:32.886877,16,128,0.14584805724211175,,,0.0009722420679105565,1,160,,,COMPLETE
84,25.187271246368223,2026-03-14 01:34:57.713397,2026-03-14 01:38:12.046935,0 days 00:03:14.333538,16,128,0.16982371832097876,,,0.0016662329516953314,1,192,,,COMPLETE
85,23.781340825893217,2026-03-14 01:38:12.046935,2026-03-14 01:42:42.420575,0 days 00:04:30.373640,16,112,0.12940681658533704,,,0.00117698232433598,1,224,,,COMPLETE
86,24.730803008310495,2026-03-14 01:42:42.420575,2026-03-14 01:44:34.589556,0 days 00:01:52.168981,64,112,0.12920838096848916,,,0.0012172787077089115,1,224,,,COMPLETE
87,30.444464586517164,2026-03-14 01:44:34.589556,2026-03-14 01:45:37.312152,0 days 00:01:02.722596,32,112,0.14889224515773566,,,0.008484180630336501,1,224,,,COMPLETE
