number,value,datetime_start,datetime_complete,duration,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
80,35.79310215678491,2026-05-05 13:56:34.246469,2026-05-05 13:56:37.452546,0 days 00:00:03.206077,0.9358120641886798,0.011527498596342585,6,35,1364,94,COMPLETE
81,35.82454830550893,2026-05-05 13:56:37.452546,2026-05-05 13:56:40.843834,0 days 00:00:03.391288,0.9623973087349069,0.010813521245368026,6,35,1376,93,COMPLETE
82,35.88540659282097,2026-05-05 13:56:40.844834,2026-05-05 13:56:44.106941,0 days 00:00:03.262107,0.9603723081226857,0.010796202524467238,6,35,1369,96,COMPLETE
83,35.789261286320894,2026-05-05 13:56:44.106941,2026-05-05 13:56:47.302710,0 days 00:00:03.195769,0.9592248163847338,0.01164981187697737,6,36,1354,97,COMPLETE
84,36.01942176265358,2026-05-05 13:56:47.303710,2026-05-05 13:56:50.583451,0 days 00:00:03.279741,0.9369738144023114,0.012791352972990782,6,41,1499,102,COMPLETE
85,35.803306055684125,2026-05-05 13:56:50.583451,2026-05-05 13:56:55.560988,0 days 00:00:04.977537,0.915263803421482,0.008396945674740725,7,26,1420,90,COMPLETE
86,35.67586904647836,2026-05-05 13:56:55.561992,2026-05-05 13:57:03.084038,0 days 00:00:07.522046,0.9995295338246164,0.006608830995628303,8,24,1407,91,COMPLETE
87,35.73604182967714,2026-05-05 13:57:03.084038,2026-05-05 13:57:09.411530,0 days 00:00:06.327492,0.9978459496377179,0.006479704573231951,8,26,1272,92,COMPLETE
88,35.69099918015725,2026-05-05 13:57:09.411530,2026-05-05 13:57:15.817584,0 days 00:00:06.406054,0.9210328334801118,0.006608644689767262,8,25,1273,97,COMPLETE
89,36.472497401352726,2026-05-05 13:57:15.817584,2026-05-05 13:57:23.271412,0 days 00:00:07.453828,0.9969985599989665,0.006232374832639315,8,21,1280,100,COMPLETE
90,36.36369961456542,2026-05-05 13:57:23.272412,2026-05-05 13:57:34.170294,0 days 00:00:10.897882,0.8837797816363384,0.002041794036053432,8,25,1337,81,COMPLETE
91,35.81614451956683,2026-05-05 13:57:34.170294,2026-05-05 13:57:39.963557,0 days 00:00:05.793263,0.9153957008319094,0.008047986530678312,8,27,1432,86,COMPLETE
92,36.231641707720634,2026-05-05 13:57:39.964557,2026-05-05 13:57:48.551135,0 days 00:00:08.586578,0.9794939834954564,0.004321617554437496,8,16,1262,92,COMPLETE
93,35.59374765986851,2026-05-05 13:57:48.551135,2026-05-05 13:57:55.599692,0 days 00:00:07.048557,0.9206583836924992,0.00687815232109742,9,24,1303,88,COMPLETE
94,36.46545060674305,2026-05-05 13:57:55.599692,2026-05-05 13:58:03.587785,0 days 00:00:07.988093,0.9373662564324311,0.006983587149017078,9,19,1299,106,COMPLETE
95,35.883571381472194,2026-05-05 13:58:03.588785,2026-05-05 13:58:13.438049,0 days 00:00:09.849264,0.955376539362828,0.005127010187414197,10,23,1459,96,COMPLETE
96,35.49042394029747,2026-05-05 13:58:13.438049,2026-05-05 13:58:18.958441,0 days 00:00:05.520392,0.9676077616793131,0.009411935066985705,9,30,1202,88,COMPLETE
97,35.55525891077555,2026-05-05 13:58:18.958441,2026-05-05 13:58:27.619522,0 days 00:00:08.661081,0.9825593352715966,0.0038330537952569353,9,29,1210,89,COMPLETE
98,35.50038684836961,2026-05-05 13:58:27.620523,2026-05-05 13:58:36.335111,0 days 00:00:08.714588,0.9674902325823664,0.003721578448446954,9,29,1228,88,COMPLETE
99,35.51296626900372,2026-05-05 13:58:36.336111,2026-05-05 13:58:44.817517,0 days 00:00:08.481406,0.9725714326370026,0.003834022660820408,9,29,1182,89,COMPLETE
100,35.70638918987156,2026-05-05 13:58:44.817517,2026-05-05 13:58:54.136220,0 days 00:00:09.318703,0.9730115041208494,0.0037963006083201038,9,24,1229,90,COMPLETE
101,36.09189919813051,2026-05-05 13:58:54.137264,2026-05-05 13:59:04.941972,0 days 00:00:10.804708,0.9734885162845358,0.0025241163285752255,9,24,1213,89,COMPLETE
102,35.45877625343195,2026-05-05 13:59:04.942972,2026-05-05 13:59:13.903058,0 days 00:00:08.960086,0.9972829463041764,0.0036800299960096958,9,30,1247,88,COMPLETE
103,35.46005790270417,2026-05-05 13:59:13.905513,2026-05-05 13:59:22.933078,0 days 00:00:09.027565,0.9856667230188748,0.003557421298179208,9,30,1251,87,COMPLETE
104,35.49776359820069,2026-05-05 13:59:22.933078,2026-05-05 13:59:31.208510,0 days 00:00:08.275432,0.9802616131352823,0.0037452816066466136,9,30,1122,87,COMPLETE
105,35.91386416473921,2026-05-05 13:59:31.209658,2026-05-05 13:59:41.021425,0 days 00:00:09.811767,0.9816876817183932,0.002526332022317603,9,30,1168,87,COMPLETE
106,35.721739457356286,2026-05-05 13:59:41.021425,2026-05-05 13:59:50.534561,0 days 00:00:09.513136,0.9451493434601634,0.0029570147724629005,10,30,1109,83,COMPLETE
107,36.903835811368964,2026-05-05 13:59:50.534561,2026-05-05 14:00:01.728131,0 days 00:00:11.193570,0.9978067791320253,0.0020651418768722115,9,21,1300,78,COMPLETE
108,35.85676226819583,2026-05-05 14:00:01.728131,2026-05-05 14:00:09.645599,0 days 00:00:07.917468,0.9680304529399686,0.003930553543311532,9,38,1247,83,COMPLETE
109,36.283047830832984,2026-05-05 14:00:09.646112,2026-05-05 14:00:18.915392,0 days 00:00:09.269280,0.9466804399559087,0.003410245070499422,9,20,1181,80,COMPLETE
110,37.89498681077033,2026-05-05 14:00:18.915857,2026-05-05 14:00:28.309364,0 days 00:00:09.393507,0.9849274736630057,0.0015038047653179929,9,29,1138,75,COMPLETE
111,35.73565327258025,2026-05-05 14:00:28.309364,2026-05-05 14:00:37.094956,0 days 00:00:08.785592,0.9656047835418213,0.003962879353929851,9,25,1221,88,COMPLETE
112,35.82369333668729,2026-05-05 14:00:37.095985,2026-05-05 14:00:45.487317,0 days 00:00:08.391332,0.9688092788129228,0.0053289295620683975,10,23,1236,84,COMPLETE
113,36.197714275351736,2026-05-05 14:00:45.488317,2026-05-05 14:00:54.717007,0 days 00:00:09.228690,0.9802558295805786,0.0046044264650773,9,18,1293,89,COMPLETE
114,35.81080888351501,2026-05-05 14:00:54.717007,2026-05-05 14:01:04.597033,0 days 00:00:09.880026,0.9995330768357136,0.002916937178217227,9,27,1208,86,COMPLETE
115,35.62210628931504,2026-05-05 14:01:04.597033,2026-05-05 14:01:13.646068,0 days 00:00:09.049035,0.9041054585375468,0.0035309153195375986,9,33,1255,99,COMPLETE
116,35.664249306129115,2026-05-05 14:01:13.646068,2026-05-05 14:01:24.235516,0 days 00:00:10.589448,0.9529402707439174,0.003279433043327584,10,33,1263,98,COMPLETE
117,36.27880636305176,2026-05-05 14:01:24.235516,2026-05-05 14:01:35.109655,0 days 00:00:10.874139,0.9086763351302973,0.002258532801872334,10,30,1108,99,COMPLETE
118,35.80250347971359,2026-05-05 14:01:35.109655,2026-05-05 14:01:45.617855,0 days 00:00:10.508200,0.9226094836664137,0.003109344647994653,10,33,1157,105,COMPLETE
119,35.90197137315297,2026-05-05 14:01:45.618855,2026-05-05 14:01:54.682125,0 days 00:00:09.063270,0.9522415860241759,0.003285793487389681,9,39,1254,94,COMPLETE
120,36.352252768320355,2026-05-05 14:01:54.682125,2026-05-05 14:02:00.763014,0 days 00:00:06.080889,0.8927780499399272,0.005807179690471614,9,74,1397,103,COMPLETE
121,35.65589382046978,2026-05-05 14:02:00.764014,2026-05-05 14:02:10.461096,0 days 00:00:09.697082,0.9416702042301128,0.0035542372253449723,9,31,1317,98,COMPLETE
122,35.58051343702582,2026-05-05 14:02:10.461096,2026-05-05 14:02:18.852334,0 days 00:00:08.391238,0.9449971799912839,0.004378738887945229,9,31,1321,99,COMPLETE
123,35.519080408006396,2026-05-05 14:02:18.852334,2026-05-05 14:02:27.280219,0 days 00:00:08.427885,0.9579917172516048,0.00430759631950542,9,31,1339,95,COMPLETE
124,35.57250507715219,2026-05-05 14:02:27.281219,2026-05-05 14:02:36.136693,0 days 00:00:08.855474,0.9430635289765229,0.00410966145860477,9,31,1324,101,COMPLETE
125,35.542768308970885,2026-05-05 14:02:36.137693,2026-05-05 14:02:44.846444,0 days 00:00:08.708751,0.9415787695424527,0.0041642003893712885,9,31,1339,101,COMPLETE
126,35.583106689213345,2026-05-05 14:02:44.847268,2026-05-05 14:02:52.731134,0 days 00:00:07.883866,0.9613410269996616,0.004369931930858413,9,28,1035,101,COMPLETE
127,35.59628219491468,2026-05-05 14:02:52.732133,2026-05-05 14:03:00.899280,0 days 00:00:08.167147,0.9618730669302901,0.0043270074206236036,9,28,1043,107,COMPLETE
128,35.37229341458651,2026-05-05 14:03:00.900280,2026-05-05 14:03:08.969113,0 days 00:00:08.068833,0.9853995301154529,0.004659271862005413,9,30,1183,109,COMPLETE
129,36.03403153207424,2026-05-05 14:03:08.973168,2026-05-05 14:03:19.351450,0 days 00:00:10.378282,0.9866404394069533,0.002707091291976253,9,31,1136,109,COMPLETE
130,35.69664109344983,2026-05-05 14:03:19.351450,2026-05-05 14:03:26.553174,0 days 00:00:07.201724,0.9586839307316676,0.004840610932660285,9,36,1106,103,COMPLETE
131,35.52026784890618,2026-05-05 14:03:26.553686,2026-05-05 14:03:34.968262,0 days 00:00:08.414576,0.9322075514724246,0.004155652074342368,9,29,1182,101,COMPLETE
132,35.51531601721376,2026-05-05 14:03:34.968262,2026-05-05 14:03:43.217624,0 days 00:00:08.249362,0.9417641429379348,0.00416328001241735,9,29,1189,95,COMPLETE
133,35.401390489734545,2026-05-05 14:03:43.233104,2026-05-05 14:03:50.316306,0 days 00:00:07.083202,0.943363754631876,0.005451945965649172,9,30,1168,95,COMPLETE
134,35.45535835012547,2026-05-05 14:03:50.316306,2026-05-05 14:03:57.313727,0 days 00:00:06.997421,0.931094557723224,0.005652622893382427,9,29,1182,94,COMPLETE
135,35.555250840365794,2026-05-05 14:03:57.313727,2026-05-05 14:04:04.714456,0 days 00:00:07.400729,0.9304122517099327,0.005315728166743982,9,27,1183,95,COMPLETE
136,35.55497076926021,2026-05-05 14:04:04.714456,2026-05-05 14:04:11.892617,0 days 00:00:07.178161,0.8882891572827415,0.005537303767122867,9,27,1181,95,COMPLETE
137,35.52805933531982,2026-05-05 14:04:11.893615,2026-05-05 14:04:18.469515,0 days 00:00:06.575900,0.8902432438438963,0.005604791069219018,9,34,1170,93,COMPLETE
138,35.603832161456175,2026-05-05 14:04:18.469515,2026-05-05 14:04:25.635596,0 days 00:00:07.166081,0.9069730098538396,0.004967067661395023,9,34,1087,110,COMPLETE
139,35.75223910700843,2026-05-05 14:04:25.636595,2026-05-05 14:04:31.910892,0 days 00:00:06.274297,0.9354085860207976,0.005904822711599727,9,38,1153,92,COMPLETE
140,35.579883795783786,2026-05-05 14:04:31.910892,2026-05-05 14:04:39.615956,0 days 00:00:07.705064,0.97146872544503,0.004727364497804164,10,35,1123,86,COMPLETE
141,35.53069454390196,2026-05-05 14:04:39.615956,2026-05-05 14:04:48.072741,0 days 00:00:08.456785,0.8885198490095456,0.003997453233393649,9,29,1185,93,COMPLETE
142,35.556601034817724,2026-05-05 14:04:48.072741,2026-05-05 14:04:56.531283,0 days 00:00:08.458542,0.8768114432562472,0.0038986604583444843,9,29,1196,93,COMPLETE
143,35.92314137177734,2026-05-05 14:04:56.531283,2026-05-05 14:05:06.468003,0 days 00:00:09.936720,0.9292887969218409,0.0028101438977964095,9,32,1157,104,COMPLETE
144,35.487537568174304,2026-05-05 14:05:06.468003,2026-05-05 14:05:15.460335,0 days 00:00:08.992332,0.9552927079988895,0.00355474857528456,9,30,1231,91,COMPLETE
145,36.16651408687316,2026-05-05 14:05:15.460335,2026-05-05 14:05:26.329094,0 days 00:00:10.868759,0.9875557374615279,0.002297307622680919,9,26,1225,91,COMPLETE
146,35.53830011775027,2026-05-05 14:05:26.330118,2026-05-05 14:05:34.993540,0 days 00:00:08.663422,0.9594255440780212,0.003509949295226627,9,29,1172,85,COMPLETE
