number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_fair_slope,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,state
80,35.86326565909385,2026-04-29 13:05:12.186373,2026-04-29 13:05:15.996139,0 days 00:00:03.809766,0.5616843114796005,39.54717917032231,0.006729478380530869,7,10,600,COMPLETE
81,35.60155066142073,2026-04-29 13:05:15.996139,2026-04-29 13:05:19.997457,0 days 00:00:04.001318,0.7217637443465537,48.4067010448415,0.009434857956276608,6,12,800,COMPLETE
82,35.62133163907745,2026-04-29 13:05:19.997457,2026-04-29 13:05:23.993579,0 days 00:00:03.996122,0.7732550752485424,51.83669264671811,0.009187327168246053,6,16,800,COMPLETE
83,35.77548500637159,2026-04-29 13:05:23.994461,2026-04-29 13:05:27.565820,0 days 00:00:03.571359,0.6799737275278961,44.411798060318624,0.013660386956199939,5,11,900,COMPLETE
84,36.128357276863156,2026-04-29 13:05:27.565820,2026-04-29 13:05:31.992875,0 days 00:00:04.427055,0.7276164492766969,30.663430182980516,0.010158203382023546,6,3,800,COMPLETE
85,36.312961309230985,2026-04-29 13:05:31.992875,2026-04-29 13:05:36.588966,0 days 00:00:04.596091,0.8334803329269952,54.99151804044578,0.018143102329097376,6,7,900,COMPLETE
86,35.652424140583754,2026-04-29 13:05:36.588966,2026-04-29 13:05:40.881373,0 days 00:00:04.292407,0.7560679015940449,37.54278798754488,0.007258187624852555,7,19,700,COMPLETE
87,35.96032621630151,2026-04-29 13:05:40.881373,2026-04-29 13:05:44.485416,0 days 00:00:03.604043,0.8069569650172738,25.371120039025364,0.005065517861257084,5,15,800,COMPLETE
88,35.821413482481226,2026-04-29 13:05:44.485416,2026-04-29 13:05:47.562338,0 days 00:00:03.076922,0.6166507715545773,41.249183097532956,0.011719424008927976,4,21,900,COMPLETE
89,36.00896597132565,2026-04-29 13:05:47.562338,2026-04-29 13:05:52.315824,0 days 00:00:04.753486,0.8770164455879763,28.898407654417834,0.02098133537865494,6,11,1000,COMPLETE
90,36.10479894728229,2026-04-29 13:05:52.318327,2026-04-29 13:05:56.604781,0 days 00:00:04.286454,0.8517600464746359,14.275742462673087,0.04917227682832666,7,26,900,COMPLETE
91,35.58073595958136,2026-04-29 13:05:56.604781,2026-04-29 13:06:00.601254,0 days 00:00:03.996473,0.7816781471785454,51.58256916283664,0.00885702696608756,6,17,800,COMPLETE
92,35.50314809692348,2026-04-29 13:06:00.601254,2026-04-29 13:06:04.664909,0 days 00:00:04.063655,0.8186311499409259,46.32069439346229,0.007905678314817035,6,18,800,COMPLETE
93,35.55228778035066,2026-04-29 13:06:04.668196,2026-04-29 13:06:08.218263,0 days 00:00:03.550067,0.8163640314367298,48.26323318434326,0.007767007638649425,6,18,700,COMPLETE
94,35.76138967629362,2026-04-29 13:06:08.218263,2026-04-29 13:06:12.029343,0 days 00:00:03.811080,0.7848978191509314,58.98583244069271,0.00642939878697923,6,17,700,COMPLETE
95,36.33846922311136,2026-04-29 13:06:12.036847,2026-04-29 13:06:16.151138,0 days 00:00:04.114291,0.811026401030913,46.545806592997565,0.003977703778145252,6,14,700,COMPLETE
96,35.94298933882303,2026-04-29 13:06:16.151138,2026-04-29 13:06:19.178776,0 days 00:00:03.027638,0.7872213726558595,50.13408189277479,0.007393662285324228,6,8,500,COMPLETE
97,35.65302830685837,2026-04-29 13:06:19.178776,2026-04-29 13:06:23.535641,0 days 00:00:04.356865,0.8186466173436688,45.30298943364245,0.005812548830769774,6,20,800,COMPLETE
98,36.30403529010043,2026-04-29 13:06:23.535641,2026-04-29 13:06:29.436261,0 days 00:00:05.900620,0.8662699101650981,9.436602406574218,0.004405874886910786,7,3,800,COMPLETE
99,35.97282507702015,2026-04-29 13:06:29.436261,2026-04-29 13:06:33.293751,0 days 00:00:03.857490,0.7456279423645008,54.992030214746684,0.008016081897238937,6,6,700,COMPLETE
100,52.98379517576344,2026-04-29 13:06:33.293751,2026-04-29 13:06:36.072941,0 days 00:00:02.779190,0.760680628626061,2.082210590349855,0.009707251687287614,7,25,600,COMPLETE
101,35.526142314841415,2026-04-29 13:06:36.072941,2026-04-29 13:06:40.487663,0 days 00:00:04.414722,0.7353172234050492,32.97170365268107,0.009015070723646415,6,12,900,COMPLETE
102,35.658550070974904,2026-04-29 13:06:40.487663,2026-04-29 13:06:44.330374,0 days 00:00:03.842711,0.7929328462895511,32.81980377711957,0.012115823759304273,6,18,800,COMPLETE
103,35.676220637976094,2026-04-29 13:06:44.332362,2026-04-29 13:06:48.563881,0 days 00:00:04.231519,0.7317590581126251,47.864256422224976,0.01053727015730933,6,14,900,COMPLETE
104,35.654789689339836,2026-04-29 13:06:48.579513,2026-04-29 13:06:52.480526,0 days 00:00:03.901013,0.9128432052629207,36.57060113893259,0.00863775392126579,6,29,800,COMPLETE
