number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,state
95,29.21272032759624,2026-03-15 12:10:47.481890,2026-03-15 12:10:51.553198,0 days 00:00:04.071308,0.9820304669506728,0.14783560069437696,4,900,COMPLETE
96,37.34483993022654,2026-03-15 12:10:51.555207,2026-03-15 12:10:56.355536,0 days 00:00:04.800329,0.9753019586395012,0.0018582893841330083,4,1000,COMPLETE
97,28.572831202552162,2026-03-15 12:10:56.355536,2026-03-15 12:11:00.879598,0 days 00:00:04.524062,0.9638690209173018,0.10252748772562091,4,1000,COMPLETE
98,28.986660797660086,2026-03-15 12:11:00.881602,2026-03-15 12:11:05.398825,0 days 00:00:04.517223,0.9608228949932625,0.07446279221885814,4,1000,COMPLETE
99,29.236408960299606,2026-03-15 12:11:05.398825,2026-03-15 12:11:09.913000,0 days 00:00:04.514175,0.9594316716722178,0.10137277869955255,4,1000,COMPLETE
100,29.153449902651595,2026-03-15 12:11:09.913000,2026-03-15 12:11:14.710093,0 days 00:00:04.797093,0.9446752142845991,0.18813174579987244,4,1000,COMPLETE
101,28.7010966327341,2026-03-15 12:11:14.711104,2026-03-15 12:11:19.250944,0 days 00:00:04.539840,0.9665387497002322,0.06944596637537687,4,1000,COMPLETE
102,29.002489424187893,2026-03-15 12:11:19.250944,2026-03-15 12:11:23.758724,0 days 00:00:04.507780,0.9664600617753858,0.05927226008633058,4,1000,COMPLETE
103,30.43643709026535,2026-03-15 12:11:23.758724,2026-03-15 12:11:27.073475,0 days 00:00:03.314751,0.9643707399256561,0.05706493122670862,3,1000,COMPLETE
104,29.27042290931622,2026-03-15 12:11:27.073475,2026-03-15 12:11:31.467232,0 days 00:00:04.393757,0.8842984129705032,0.04269889790007686,4,1000,COMPLETE
105,29.119526550251795,2026-03-15 12:11:31.467232,2026-03-15 12:11:35.532893,0 days 00:00:04.065661,0.9540479660886726,0.07548482007256135,4,900,COMPLETE
106,31.15747739714447,2026-03-15 12:11:35.532893,2026-03-15 12:11:38.950264,0 days 00:00:03.417371,0.9389588480148051,0.0258473034945578,3,1000,COMPLETE
107,29.32447362856636,2026-03-15 12:11:38.952271,2026-03-15 12:11:43.567507,0 days 00:00:04.615236,0.9707574474675503,0.03663091246812226,4,1000,COMPLETE
108,28.95333534848178,2026-03-15 12:11:43.567507,2026-03-15 12:11:47.683218,0 days 00:00:04.115711,0.998807440401276,0.09541813222464242,4,900,COMPLETE
109,29.320587719664566,2026-03-15 12:11:47.683218,2026-03-15 12:11:51.288018,0 days 00:00:03.604800,0.5695514466496242,0.06067147797902616,4,900,COMPLETE
110,28.990187117622128,2026-03-15 12:11:51.290031,2026-03-15 12:11:55.778027,0 days 00:00:04.487996,0.997780546164632,0.045805123470148396,4,1000,COMPLETE
111,29.222752619963707,2026-03-15 12:11:55.778027,2026-03-15 12:12:00.274838,0 days 00:00:04.496811,0.9984158301583193,0.04605838351463049,4,1000,COMPLETE
112,28.891919792555722,2026-03-15 12:12:00.274838,2026-03-15 12:12:04.755343,0 days 00:00:04.480505,0.9749377945019969,0.09261657505645471,4,1000,COMPLETE
113,30.180102884013206,2026-03-15 12:12:04.755343,2026-03-15 12:12:07.740952,0 days 00:00:02.985609,0.9754877337905419,0.09310050774687023,3,900,COMPLETE
114,29.02339114477898,2026-03-15 12:12:07.740952,2026-03-15 12:12:12.225948,0 days 00:00:04.484996,0.9560281667703748,0.1099663407875805,4,1000,COMPLETE
115,29.28599542883004,2026-03-15 12:12:12.225948,2026-03-15 12:12:16.710614,0 days 00:00:04.484666,0.9578893212503996,0.1060532226810289,4,1000,COMPLETE
116,29.13648341435026,2026-03-15 12:12:16.712619,2026-03-15 12:12:21.180258,0 days 00:00:04.467639,0.9683424706731089,0.12340395637309973,4,1000,COMPLETE
117,30.01887756956785,2026-03-15 12:12:21.180258,2026-03-15 12:12:24.093190,0 days 00:00:02.912932,0.9499266393531293,0.10939439222715093,3,900,COMPLETE
118,29.164867367029835,2026-03-15 12:12:24.093190,2026-03-15 12:12:28.566956,0 days 00:00:04.473766,0.9759603221503572,0.08790567425367786,4,1000,COMPLETE
119,28.96770824407927,2026-03-15 12:12:28.566956,2026-03-15 12:12:32.597416,0 days 00:00:04.030460,0.9597341308953761,0.0993991875405498,4,900,COMPLETE
120,29.327414463852072,2026-03-15 12:12:32.597416,2026-03-15 12:12:36.569312,0 days 00:00:03.971896,0.9403483587599241,0.05185173601416797,4,900,COMPLETE
121,28.673604972359932,2026-03-15 12:12:36.569312,2026-03-15 12:12:41.045652,0 days 00:00:04.476340,0.966401673310744,0.09816549902461692,4,1000,COMPLETE
122,28.99131994494307,2026-03-15 12:12:41.047657,2026-03-15 12:12:45.543192,0 days 00:00:04.495535,0.9605152639375437,0.09715521739734861,4,1000,COMPLETE
123,28.754385531880853,2026-03-15 12:12:45.543192,2026-03-15 12:12:49.589753,0 days 00:00:04.046561,0.9994192971074297,0.07818718297298839,4,900,COMPLETE
124,28.650998342226046,2026-03-15 12:12:49.589753,2026-03-15 12:12:53.633472,0 days 00:00:04.043719,0.9993712493574675,0.09817973184847158,4,900,COMPLETE
125,30.202988153491084,2026-03-15 12:12:53.633472,2026-03-15 12:12:56.611657,0 days 00:00:02.978185,0.9985162542809406,0.07946748917877103,3,900,COMPLETE
126,29.391956955007934,2026-03-15 12:12:56.611657,2026-03-15 12:13:00.647262,0 days 00:00:04.035605,0.9912830498327475,0.13354623342072436,4,900,COMPLETE
127,29.347700244064775,2026-03-15 12:13:00.647262,2026-03-15 12:13:04.509693,0 days 00:00:03.862431,0.8336339789637058,0.07080867619392776,4,900,COMPLETE
128,29.437271848206727,2026-03-15 12:13:04.511697,2026-03-15 12:13:08.541661,0 days 00:00:04.029964,0.9999604469530231,0.12492954931322679,4,900,COMPLETE
129,30.17142138287469,2026-03-15 12:13:08.543667,2026-03-15 12:13:11.581077,0 days 00:00:03.037410,0.9766646382156399,0.0899907806579144,3,900,COMPLETE
130,28.85225760649119,2026-03-15 12:13:11.581077,2026-03-15 12:13:15.204865,0 days 00:00:03.623788,0.9750284652604412,0.09912906344766696,4,800,COMPLETE
131,29.16373452281506,2026-03-15 12:13:15.204865,2026-03-15 12:13:18.815591,0 days 00:00:03.610726,0.9891989923426384,0.09982173575820857,4,800,COMPLETE
132,28.99957601319985,2026-03-15 12:13:18.815591,2026-03-15 12:13:22.405896,0 days 00:00:03.590305,0.9791897515617747,0.07812411611662332,4,800,COMPLETE
133,28.97948066569477,2026-03-15 12:13:22.405896,2026-03-15 12:13:26.423569,0 days 00:00:04.017673,0.9688934961562953,0.14054298184664607,4,900,COMPLETE
134,29.161310122683254,2026-03-15 12:13:26.423569,2026-03-15 12:13:30.455681,0 days 00:00:04.032112,0.9482723848392002,0.15093327292042322,4,900,COMPLETE
135,28.870264134476116,2026-03-15 12:13:30.457686,2026-03-15 12:13:34.452475,0 days 00:00:03.994789,0.9686944975616723,0.16988449729245247,4,900,COMPLETE
136,29.1470979865517,2026-03-15 12:13:34.452475,2026-03-15 12:13:38.043274,0 days 00:00:03.590799,0.96794182716009,0.17072576924333613,4,800,COMPLETE
137,28.803025792592315,2026-03-15 12:13:38.045279,2026-03-15 12:13:42.024444,0 days 00:00:03.979165,0.9319437379747333,0.1388081700571413,4,900,COMPLETE
138,29.25792803535338,2026-03-15 12:13:42.024444,2026-03-15 12:13:46.001005,0 days 00:00:03.976561,0.9296199182177097,0.11944678515562057,4,900,COMPLETE
139,33.93659081080581,2026-03-15 12:13:46.001005,2026-03-15 12:13:48.984012,0 days 00:00:02.983007,0.9383576979292588,0.005561254828585096,3,900,COMPLETE
140,28.87161336166609,2026-03-15 12:13:48.984012,2026-03-15 12:13:52.641956,0 days 00:00:03.657944,0.9506562499148352,0.17616554191693484,4,800,COMPLETE
141,28.81992562945905,2026-03-15 12:13:52.641956,2026-03-15 12:13:56.183181,0 days 00:00:03.541225,0.9202802799131717,0.1690391065335017,4,800,COMPLETE
142,29.347146628325742,2026-03-15 12:13:56.183181,2026-03-15 12:13:59.722490,0 days 00:00:03.539309,0.9475876084004557,0.2045985850660256,4,800,COMPLETE
143,29.298940129450802,2026-03-15 12:13:59.722490,2026-03-15 12:14:03.258809,0 days 00:00:03.536319,0.9207585862876069,0.15439669869316633,4,800,COMPLETE
144,29.183745620888978,2026-03-15 12:14:03.258809,2026-03-15 12:14:06.792185,0 days 00:00:03.533376,0.9070266601063013,0.17260389014936592,4,800,COMPLETE
145,29.045847071518608,2026-03-15 12:14:06.792185,2026-03-15 12:14:10.386702,0 days 00:00:03.594517,0.9838738540652971,0.13663980708009507,4,800,COMPLETE
146,29.305208284304815,2026-03-15 12:14:10.386702,2026-03-15 12:14:14.391912,0 days 00:00:04.005210,0.9294685434023549,0.18862296523963548,4,900,COMPLETE
147,29.029219520897463,2026-03-15 12:14:14.391912,2026-03-15 12:14:17.988793,0 days 00:00:03.596881,0.9772979054549196,0.11814573669852958,4,800,COMPLETE
148,29.400065702720166,2026-03-15 12:14:17.988793,2026-03-15 12:14:23.464657,0 days 00:00:05.475864,0.9890758165672456,0.24659417919245305,5,900,COMPLETE
149,29.042351090912508,2026-03-15 12:14:23.464657,2026-03-15 12:14:27.850061,0 days 00:00:04.385404,0.9483292464119073,0.15784019988228232,4,1000,COMPLETE
150,31.225318800917243,2026-03-15 12:14:27.850061,2026-03-15 12:15:01.495608,0 days 00:00:33.645547,0.9687676658385573,0.12832889872330377,10,900,COMPLETE
151,29.0790689731523,2026-03-15 12:15:01.497613,2026-03-15 12:15:05.576375,0 days 00:00:04.078762,0.9636792184780737,0.1019021927571042,4,900,COMPLETE
152,28.98190385927736,2026-03-15 12:15:05.576375,2026-03-15 12:15:09.593715,0 days 00:00:04.017340,0.9150665143112948,0.08739966790461749,4,900,COMPLETE
153,28.797640726415914,2026-03-15 12:15:09.593715,2026-03-15 12:15:13.646509,0 days 00:00:04.052794,0.9550394641517732,0.10625633527877351,4,900,COMPLETE
