number,value,datetime_start,datetime_complete,duration,params_fair_c,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
94,35.5355802376166,2026-04-29 12:15:35.797040,2026-04-29 12:15:38.039428,0 days 00:00:02.242388,37.24725822123058,0.5236377904524003,0.007093347310592055,9,34,914,28,COMPLETE
95,35.56056252297229,2026-04-29 12:15:38.039428,2026-04-29 12:15:40.157047,0 days 00:00:02.117619,38.038208950180454,0.5189148678529283,0.007120841400758807,10,33,881,27,COMPLETE
96,35.58025107132303,2026-04-29 12:15:40.157047,2026-04-29 12:15:42.031317,0 days 00:00:01.874270,38.11904778174049,0.5196666967818943,0.00734003293748306,10,38,872,22,COMPLETE
97,35.56648795431682,2026-04-29 12:15:42.031317,2026-04-29 12:15:44.007762,0 days 00:00:01.976445,43.99507776217864,0.4655423743447857,0.008756848654918704,10,34,913,25,COMPLETE
98,35.67287079097336,2026-04-29 12:15:44.007762,2026-04-29 12:15:46.033091,0 days 00:00:02.025329,32.87607857180487,0.48849690838804405,0.006645935667616691,10,30,844,27,COMPLETE
99,37.06146619639505,2026-04-29 12:15:46.033091,2026-04-29 12:15:47.425497,0 days 00:00:01.392406,55.89816548254843,0.4546168556829825,0.0847525672588342,9,26,891,20,COMPLETE
100,35.76273213849349,2026-04-29 12:15:47.425497,2026-04-29 12:15:49.850547,0 days 00:00:02.425050,38.9269480211728,0.5120148219337509,0.004989802817259982,10,33,938,29,COMPLETE
101,35.49553666223553,2026-04-29 12:15:49.850547,2026-04-29 12:15:51.757679,0 days 00:00:01.907132,44.11156946499354,0.46994733448623865,0.009023377959919263,10,29,919,23,COMPLETE
102,35.56125881904454,2026-04-29 12:15:51.760683,2026-04-29 12:15:54.222056,0 days 00:00:02.461373,45.98133846653541,0.4325923882337803,0.009473966103194356,10,29,916,38,COMPLETE
103,35.568550309038294,2026-04-29 12:15:54.222056,2026-04-29 12:15:57.142728,0 days 00:00:02.920672,51.88415357548624,0.49695175256680185,0.008034361572340219,10,32,883,44,COMPLETE
104,35.56512145176573,2026-04-29 12:15:57.142728,2026-04-29 12:15:59.305722,0 days 00:00:02.162994,41.8495705781244,0.5211918424395421,0.00705294767971811,9,36,969,25,COMPLETE
105,36.495247028166716,2026-04-29 12:15:59.305722,2026-04-29 12:16:01.068315,0 days 00:00:01.762593,56.70987983124889,0.4976367819165333,0.0041944740064841085,9,21,850,20,COMPLETE
106,35.931332295437386,2026-04-29 12:16:01.068315,2026-04-29 12:16:02.713850,0 days 00:00:01.645535,36.235458690912175,0.48236043148217356,0.005599614852800212,10,27,916,17,COMPLETE
107,35.54761087944239,2026-04-29 12:16:02.713850,2026-04-29 12:16:05.088131,0 days 00:00:02.374281,50.12508183646265,0.5329834403049684,0.010971471439818496,10,25,800,42,COMPLETE
108,35.64889323057264,2026-04-29 12:16:05.088131,2026-04-29 12:16:05.820748,0 days 00:00:00.732617,51.18919950969904,0.5370064665354327,0.011442305424623588,3,22,808,41,COMPLETE
109,35.63430060034172,2026-04-29 12:16:05.820748,2026-04-29 12:16:08.174597,0 days 00:00:02.353849,48.063293522635725,0.4732535456433914,0.009275540103364488,9,24,773,44,COMPLETE
110,35.428275514356905,2026-04-29 12:16:08.190219,2026-04-29 12:16:11.112027,0 days 00:00:02.921808,43.423859861562434,0.5667825250476312,0.008153028962086499,9,29,943,46,COMPLETE
111,35.42406668587592,2026-04-29 12:16:11.112027,2026-04-29 12:16:14.047622,0 days 00:00:02.935595,45.171604199042264,0.5671811617937785,0.00815484459233785,9,29,947,46,COMPLETE
112,35.42493555661656,2026-04-29 12:16:14.047622,2026-04-29 12:16:16.948656,0 days 00:00:02.901034,43.33384342931332,0.5677325996162557,0.010310874442793157,9,30,946,50,COMPLETE
113,35.42983431553142,2026-04-29 12:16:16.948656,2026-04-29 12:16:19.939239,0 days 00:00:02.990583,43.4210743201322,0.5673454882888932,0.008297123197435322,9,30,971,47,COMPLETE
114,35.64483293171689,2026-04-29 12:16:19.939239,2026-04-29 12:16:22.813422,0 days 00:00:02.874183,42.45136290553895,0.569738151069963,0.010712359062482987,9,23,973,46,COMPLETE
115,35.52370784638574,2026-04-29 12:16:22.813422,2026-04-29 12:16:24.513173,0 days 00:00:01.699751,45.31801635095615,0.6171278941791691,0.00814729722725205,9,31,1000,15,COMPLETE
116,35.61380463512701,2026-04-29 12:16:24.513173,2026-04-29 12:16:27.478988,0 days 00:00:02.965815,45.651670062746774,0.5950427610879481,0.008365227016544022,9,40,997,46,COMPLETE
117,35.63235260975292,2026-04-29 12:16:27.478988,2026-04-29 12:16:29.188245,0 days 00:00:01.709257,31.7302553053752,0.624029192117747,0.00784648010782589,9,30,958,16,COMPLETE
118,36.171671583611484,2026-04-29 12:16:29.188245,2026-04-29 12:16:31.927731,0 days 00:00:02.739486,5.503197551421845,0.6631541186767639,0.006521109391760851,9,37,934,38,COMPLETE
