number,value,datetime_start,datetime_complete,duration,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
131,35.48084936374183,2026-04-29 11:38:00.638702,2026-04-29 11:38:02.026222,0 days 00:00:01.387520,0.956771985140202,0.022823993457132888,10,30,299,75,COMPLETE
132,35.45383472658379,2026-04-29 11:38:02.026222,2026-04-29 11:38:03.360076,0 days 00:00:01.333854,0.9476689209615737,0.02307534933390668,10,30,297,74,COMPLETE
133,35.528646785716624,2026-04-29 11:38:03.360076,2026-04-29 11:38:04.638506,0 days 00:00:01.278430,0.9410438276232884,0.02474462310407763,10,30,294,75,COMPLETE
134,35.61486554107377,2026-04-29 11:38:04.638506,2026-04-29 11:38:05.973659,0 days 00:00:01.335153,0.9421691327767253,0.023041446107666404,10,31,297,74,COMPLETE
135,35.59610978081729,2026-04-29 11:38:05.973659,2026-04-29 11:38:07.069151,0 days 00:00:01.095492,0.9516240790315466,0.024336756527137262,10,35,226,75,COMPLETE
136,35.85221093657768,2026-04-29 11:38:07.069151,2026-04-29 11:38:08.230498,0 days 00:00:01.161347,0.9987227148933485,0.020860768303599602,10,37,195,80,COMPLETE
137,35.85878697314364,2026-04-29 11:38:08.242002,2026-04-29 11:38:09.344985,0 days 00:00:01.102983,0.912647743402613,0.03336371005653101,10,33,298,71,COMPLETE
138,35.51438444530918,2026-04-29 11:38:09.344985,2026-04-29 11:38:10.492138,0 days 00:00:01.147153,0.9385860626505642,0.027116216581839627,10,30,245,77,COMPLETE
139,35.87938277609951,2026-04-29 11:38:10.492138,2026-04-29 11:38:11.650563,0 days 00:00:01.158425,0.9392989829820627,0.02519508132587636,10,40,238,77,COMPLETE
140,35.77539949621482,2026-04-29 11:38:11.650563,2026-04-29 11:38:13.012909,0 days 00:00:01.362346,0.9704799500090617,0.027055319624847442,10,31,340,75,COMPLETE
141,36.073325877994115,2026-04-29 11:38:13.012909,2026-04-29 11:38:14.014471,0 days 00:00:01.001562,0.9861477264549569,0.044807867467450246,10,30,285,67,COMPLETE
142,35.90594953578016,2026-04-29 11:38:14.014471,2026-04-29 11:38:15.188956,0 days 00:00:01.174485,0.9607963264272522,0.020765140431527825,10,24,199,71,COMPLETE
143,35.475821145113756,2026-04-29 11:38:15.188956,2026-04-29 11:38:16.471566,0 days 00:00:01.282610,0.9425426102425826,0.017460065145362365,10,28,246,65,COMPLETE
144,35.67532525439985,2026-04-29 11:38:16.471566,2026-04-29 11:38:17.351668,0 days 00:00:00.880102,0.9468071930776686,0.02251447511021799,10,33,159,64,COMPLETE
145,35.44148441778704,2026-04-29 11:38:17.351668,2026-04-29 11:38:18.740228,0 days 00:00:01.388560,0.9345418652318127,0.01861237730840583,10,29,252,78,COMPLETE
