number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_huber_slope,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,state
90,35.730724551605995,2026-05-08 15:22:32.977833,2026-05-08 15:22:36.818229,0 days 00:00:03.840396,0.5753311230275888,97.86629506823105,0.007808001590125592,7,35,700,COMPLETE
91,36.08945879252123,2026-05-08 15:22:36.818229,2026-05-08 15:22:40.468642,0 days 00:00:03.650413,0.5638053504145081,89.69065502199413,0.005978860829635116,7,33,600,COMPLETE
92,38.08564478412212,2026-05-08 15:22:40.468642,2026-05-08 15:22:42.008690,0 days 00:00:01.540048,0.633459557570418,95.04869683412404,0.009015288407957586,7,25,200,COMPLETE
93,35.87473822743925,2026-05-08 15:22:42.008690,2026-05-08 15:22:46.636302,0 days 00:00:04.627612,0.6069794678930661,103.67475555715764,0.005412787242394625,7,39,800,COMPLETE
94,35.64187022608747,2026-05-08 15:22:46.636302,2026-05-08 15:22:53.046734,0 days 00:00:06.410432,0.7363434901217056,99.80513641247941,0.0070565731995667035,8,36,900,COMPLETE
95,35.912234379349734,2026-05-08 15:22:53.046734,2026-05-08 15:22:58.344363,0 days 00:00:05.297629,0.5562057102721408,90.74427202590455,0.011597160370804157,8,36,1000,COMPLETE
96,42.57924562258424,2026-05-08 15:22:58.344874,2026-05-08 15:23:03.294437,0 days 00:00:04.949563,0.7841640038918654,98.71696150628428,0.2937875812112085,8,29,900,COMPLETE
97,35.904623547171695,2026-05-08 15:23:03.298943,2026-05-08 15:23:05.826938,0 days 00:00:02.527995,0.7390877602722703,79.87041815198153,0.006997080947502744,6,33,500,COMPLETE
98,36.3642928411002,2026-05-08 15:23:05.826938,2026-05-08 15:23:10.451635,0 days 00:00:04.624697,0.7521971111220265,86.02644020805049,0.0031087196981207663,6,37,900,COMPLETE
99,35.79696212108695,2026-05-08 15:23:10.451635,2026-05-08 15:23:18.374724,0 days 00:00:07.923089,0.5880697459330444,106.47012748326095,0.004948129114232136,8,31,1100,COMPLETE
100,35.845971022212886,2026-05-08 15:23:18.374724,2026-05-08 15:23:22.127434,0 days 00:00:03.752710,0.7572975296671836,95.75220491919848,0.007971682790392346,5,43,1200,COMPLETE
101,35.77637714797198,2026-05-08 15:23:22.127434,2026-05-08 15:23:29.492816,0 days 00:00:07.365382,0.729269635453662,100.05350163616087,0.003983916376514061,7,40,1300,COMPLETE
102,35.72671317715069,2026-05-08 15:23:29.492816,2026-05-08 15:23:32.619964,0 days 00:00:03.127148,0.6379504069483276,104.75120303764078,0.006549336731871495,6,37,700,COMPLETE
103,35.829937767929025,2026-05-08 15:23:32.619964,2026-05-08 15:23:41.944080,0 days 00:00:09.324116,0.6899728264156393,92.03823385570212,0.0056784678524059605,8,34,1500,COMPLETE
104,35.965592257912974,2026-05-08 15:23:41.944080,2026-05-08 15:23:48.003642,0 days 00:00:06.059562,0.6622969138321313,81.60878247481288,0.00454300904738896,7,99,1400,COMPLETE
105,36.47316441724617,2026-05-08 15:23:48.003642,2026-05-08 15:23:51.937113,0 days 00:00:03.933471,0.6152812462261887,95.91689262819857,0.003478738302243534,6,28,800,COMPLETE
106,35.539129050287514,2026-05-08 15:23:51.937113,2026-05-08 15:23:59.995282,0 days 00:00:08.058169,0.7205001286914148,86.82413760693115,0.004234639541402933,7,35,1500,COMPLETE
107,35.9777792887956,2026-05-08 15:23:59.995282,2026-05-08 15:24:05.797267,0 days 00:00:05.801985,0.7167285498243124,86.61106321402731,0.007414572720720986,6,31,1500,COMPLETE
108,36.12577607564705,2026-05-08 15:24:05.797267,2026-05-08 15:24:14.506398,0 days 00:00:08.709131,0.7120727389565595,83.55463750326703,0.008925870089727256,8,26,1500,COMPLETE
109,35.80948896333025,2026-05-08 15:24:14.506398,2026-05-08 15:24:18.018190,0 days 00:00:03.511792,0.7781685579191465,90.0472047059232,0.00563143377760972,4,35,1400,COMPLETE
110,35.73099066530811,2026-05-08 15:24:18.018190,2026-05-08 15:24:25.540554,0 days 00:00:07.522364,0.7395131869948453,77.8227988400878,0.005070352865937855,7,40,1500,COMPLETE
111,36.0481933618302,2026-05-08 15:24:25.540554,2026-05-08 15:24:31.769985,0 days 00:00:06.229431,0.7271926381508645,29.646984291233142,0.0042009575761704325,7,37,1400,COMPLETE
112,35.7334175152829,2026-05-08 15:24:31.769985,2026-05-08 15:24:38.419262,0 days 00:00:06.649277,0.696708452982209,101.09109168198579,0.006245535724645434,7,46,1400,COMPLETE
113,35.79571604381003,2026-05-08 15:24:38.419262,2026-05-08 15:24:44.186442,0 days 00:00:05.767180,0.651538702064777,92.07604943196581,0.003538545999980622,6,32,1300,COMPLETE
114,35.755234422907094,2026-05-08 15:24:44.186442,2026-05-08 15:24:51.750840,0 days 00:00:07.564398,0.6732878120651887,96.91932806104968,0.004285946035376899,7,39,1500,COMPLETE
115,35.9572873043583,2026-05-08 15:24:51.750840,2026-05-08 15:24:58.287019,0 days 00:00:06.536179,0.6833690565992868,88.62152819223655,0.0028372183669266547,6,43,1400,COMPLETE
116,37.8862773574189,2026-05-08 15:24:58.302644,2026-05-08 15:25:02.279446,0 days 00:00:03.976802,0.7437708324694843,103.50052794314763,0.049864075052216704,5,35,1400,COMPLETE
117,35.76988706832775,2026-05-08 15:25:02.279446,2026-05-08 15:25:10.515746,0 days 00:00:08.236300,0.7616379988259772,107.06939858879254,0.004787863489127963,7,29,1500,COMPLETE
118,35.78127481912465,2026-05-08 15:25:10.515746,2026-05-08 15:25:16.165682,0 days 00:00:05.649936,0.7231978136550085,75.45311655693412,0.0038978419262358384,6,41,1300,COMPLETE
119,35.7229397089357,2026-05-08 15:25:16.165682,2026-05-08 15:25:21.936744,0 days 00:00:05.771062,0.7314301308998947,94.12607655399417,0.006895474582599846,7,34,1100,COMPLETE
120,36.172498123834714,2026-05-08 15:25:21.936744,2026-05-08 15:25:26.091369,0 days 00:00:04.154625,0.7908818114247621,42.75323945939791,0.010072637932523675,6,24,1100,COMPLETE
121,35.73141265791454,2026-05-08 15:25:26.091369,2026-05-08 15:25:31.343861,0 days 00:00:05.252492,0.7096760787717411,94.15052120493698,0.007236907801608126,7,34,1000,COMPLETE
122,35.66046041874934,2026-05-08 15:25:31.343861,2026-05-08 15:25:37.308412,0 days 00:00:05.964551,0.7351204957700925,84.90997691660858,0.0059621443895478245,7,37,1100,COMPLETE
123,35.745049790017646,2026-05-08 15:25:37.308412,2026-05-08 15:25:43.395396,0 days 00:00:06.086984,0.7311606355607463,86.36916469896455,0.005870817595979739,7,32,1100,COMPLETE
124,35.63292386994641,2026-05-08 15:25:43.395396,2026-05-08 15:25:51.071034,0 days 00:00:07.675638,0.7530732267929229,84.33758509432579,0.006616428380461808,8,36,1200,COMPLETE
